State,EAS Community,Annual contract subsidy rates,EAS Carrier,Docket,Contract Date Start,Contract Date End,Currently Effective Rate Order,Current Hubs Served,Aircraft,Seats,RTs/Day,Number of weekly round trips,Airport Code,Airport Lat,Airport Long,Hub Lat,Hub Long
AL,Muscle Shoals,"$2,848,421",Boutique Air,OST-2000-7856,03/01/18,02/28/22,2017-11-9,ATL,PC-12,8,4,24,MSL,34.745306,-87.610221,33.6367,-84.427863
AR,El Dorado/Camden,"$1,302,698.50 ",Southern,OST-1997-2935,03/01/19,02/28/21,2019-2-19,DFW,Caravan,9,3,18,ELD,33.221238,-92.811748,32.897233,-97.037694
AR,El Dorado/Camden,"$1,302,698.50 ",Southern,OST-1997-2935,03/01/19,02/28/21,2019-2-19,MEM,Caravan,9,3,18,ELD,33.221238,-92.811748,35.042411,-89.976678
AR,Harrison,"$1,367,690.50 ",Southern,OST-1997-2935,03/01/19,02/28/21,2019-2-19,DFW,Caravan,9,3,18,HRO,36.261521,-93.154728,32.897233,-97.037694
AR,Harrison,"$1,367,690.50 ",Southern,OST-1997-2935,03/01/19,02/28/21,2019-2-19,MEM,Caravan,9,3,18,HRO,36.261521,-93.154728,35.042411,-89.976678
AR,Hot Springs,"$2,729,284 ",Southern,OST-1997-2935,03/01/19,02/28/21,2019-2-19,DFW,Caravan,9,3,18,HOT,34.478028,-93.096221,32.897233,-97.037694
AR,Jonesboro,"$2,020,538",Air Choice One,OST-1997-2935,03/01/18,02/28/22,2017-11-22,STL,Caravan,9,3,18,JBR,35.831711,-90.646421,38.748697,-90.370028
AZ,Page,"$2,199,462",AEAS/Contour,OST-1997-2694,07/01/18,09/30/20,2018-6-22,LAS,ERJ-135,30,2,12,PGA,36.926069,-111.44835,36.080044,-115.152234
AZ,Page,"$2,199,462",AEAS/Contour,OST-1997-2694,07/01/18,09/30/20,2018-6-22,PHX,ERJ-135,30,2,12,PGA,36.926069,-111.44835,33.434278,-112.011582
AZ,Prescott,"$1,604,550.50",SkyWest,OST-1996-1899,09/01/20,08/31/23,2020-7-2,DEN,CRJ-200,50,2,12,PRC,34.654833,-112.419221,39.861667,-104.673166
AZ,Prescott,"$1,604,550.50",SkyWest,OST-1996-1899,09/01/20,08/31/23,2020-7-2,LAX,CRJ-200,50,2,12,PRC,34.654833,-112.419221,33.942496,-118.408048
AZ,Show Low,"$1,740,867",Boutique Air,OST-1998-4409,07/01/18,06/30/22,2018-5-5,PHX,PC-12,8,3,18,SOW,34.265472,-110.005666,33.434278,-112.011582
CA,Crescent City,"$3,310,503",AEAS/Contour,OST-1997-2649,04/01/18,09/30/20,2018-2-17,OAK,ERJ-135,30,1,7 AEAS,CEC,41.780167,-124.236527,37.72125,-122.221138
CA,El Centro,"$2,488,824",Mokulele,OST-2008-0299,05/01/18,04/30/22,2018-3-6,LAX,Caravan,9,4,24,IPL,32.834222,-115.578749,33.942496,-118.408048
CA,Merced,"$1,690,621",Boutique Air,OST-1998-3521,08/01/17,07/31/21,2019-4-24,LAX,PC-12,8,4,28,MCE,37.28475,-120.513916,33.942496,-118.408048
CA,Merced,"$1,690,621",Boutique Air,OST-1998-3521,08/01/17,07/31/21,2019-4-24,SMF,PC-12,8,4,28,MCE,37.28475,-120.513916,38.695444,-121.590777
CO,Alamosa,"$2,949,133",Boutique Air,OST-1997-2960,10/01/18,09/30/20,2018-9-6,DEN,PC-12,8,4,24,ALS,37.435125,-105.867874,39.861667,-104.673166
CO,Cortez,"$1,834,597.50",Boutique Air,OST-1998-3508,10/01/18,09/30/22,2018-8-1,DEN,PC-12,8,4,24,CEZ,37.303,-108.628055,39.861667,-104.673166
CO,Cortez,"$1,834,597.50",Boutique Air,OST-1998-3508,10/01/18,09/30/22,2018-8-1,PHX,PC-12,8,4,24,CEZ,37.303,-108.628055,33.434278,-112.011582
CO,Pueblo,"$2,784,664",SkyWest,OST-1999-6589,12/01/19,11/30/22,2019-11-21,DEN,CRJ-200,50,2,12,PUB,38.289947,-104.498027,39.861667,-104.673166
GA,Macon,"$4,687,979",AEAS/Contour,OST-2007-28671,08/01/19,09/30/23,2019-4-9,BWI,ERJ-135,30,2,12 AEAS,MCN,32.692833,-83.649221,39.175728,-76.66899
